// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 1 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.22 sec)   *****
// Found 1 benchmarks:
//   MutexBenchmark.StartThreads: Job-LWJHUO(Toolchain=InProcessEmitToolchain, InvocationCount=1, UnrollFactor=1)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: MutexBenchmark.StartThreads: Job-LWJHUO(Toolchain=InProcessEmitToolchain, InvocationCount=1, UnrollFactor=1)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-LWJHUO(Toolchain=InProcessEmitToolchain, InvocationCount=1, UnrollFactor=1)

WorkloadResult  80: 1 op, 403149800.00 ns, 403.1498 ms/op
WorkloadResult  81: 1 op, 503879700.00 ns, 503.8797 ms/op
WorkloadResult  82: 1 op, 503687800.00 ns, 503.6878 ms/op
WorkloadResult  83: 1 op, 502464100.00 ns, 502.4641 ms/op
WorkloadResult  84: 1 op, 505297400.00 ns, 505.2974 ms/op
WorkloadResult  85: 1 op, 402239500.00 ns, 402.2395 ms/op
WorkloadResult  86: 1 op, 402922100.00 ns, 402.9221 ms/op
WorkloadResult  87: 1 op, 402898600.00 ns, 402.8986 ms/op
WorkloadResult  88: 1 op, 402518000.00 ns, 402.5180 ms/op
WorkloadResult  89: 1 op, 302933800.00 ns, 302.9338 ms/op
WorkloadResult  90: 1 op, 403300600.00 ns, 403.3006 ms/op
WorkloadResult  91: 1 op, 503835400.00 ns, 503.8354 ms/op
WorkloadResult  92: 1 op, 505160000.00 ns, 505.1600 ms/op
WorkloadResult  93: 1 op, 502973700.00 ns, 502.9737 ms/op
WorkloadResult  94: 1 op, 402924400.00 ns, 402.9244 ms/op
WorkloadResult  95: 1 op, 402638800.00 ns, 402.6388 ms/op
WorkloadResult  96: 1 op, 402225800.00 ns, 402.2258 ms/op
WorkloadResult  97: 1 op, 403613400.00 ns, 403.6134 ms/op
WorkloadResult  98: 1 op, 503022600.00 ns, 503.0226 ms/op
WorkloadResult  99: 1 op, 403189300.00 ns, 403.1893 ms/op
WorkloadResult  100: 1 op, 502990900.00 ns, 502.9909 ms/op
GC:  0 0 0 0 0


Mean = 431.4531 ms, StdErr = 5.3491 ms (1.24%); N = 100, StdDev = 53.4908 ms
Min = 302.8382 ms, Q1 = 402.9104 ms, Median = 403.6548 ms, Q3 = 502.9929 ms, Max = 505.2974 ms
IQR = 100.0825 ms, LowerFence = 252.7866 ms, UpperFence = 653.1166 ms
ConfidenceInterval = [413.3115 ms; 449.5946 ms] (CI 99.9%), Margin = 18.1416 ms (4.20% of Mean)
Skewness = 0.14, Kurtosis = 2.44, MValue = 3.13

Successfully reverted power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\DockerBenchmark.OS.MutexBenchmark-report.csv
  BenchmarkDotNet.Artifacts\results\DockerBenchmark.OS.MutexBenchmark-report-github.md
  BenchmarkDotNet.Artifacts\results\DockerBenchmark.OS.MutexBenchmark-report.html
  BenchmarkDotNet.Artifacts\results\DockerBenchmark.OS.MutexBenchmark-measurements.csv
  BuildPlots.R
  BenchmarkDotNet.Artifacts\results\DockerBenchmark.OS.MutexBenchmark-20190721-105138-boxplot.png
  BenchmarkDotNet.Artifacts\results\DockerBenchmark.OS.MutexBenchmark-20190721-105138-barplot.png

// * Detailed results *
MutexBenchmark.StartThreads: Job-LWJHUO(Toolchain=InProcessEmitToolchain, InvocationCount=1, UnrollFactor=1)
Runtime = ; GC = 
Mean = 431.4531 ms, StdErr = 5.3491 ms (1.24%); N = 100, StdDev = 53.4908 ms
Min = 302.8382 ms, Q1 = 402.9104 ms, Median = 403.6548 ms, Q3 = 502.9929 ms, Max = 505.2974 ms
IQR = 100.0825 ms, LowerFence = 252.7866 ms, UpperFence = 653.1166 ms
ConfidenceInterval = [413.3115 ms; 449.5946 ms] (CI 99.9%), Margin = 18.1416 ms (4.20% of Mean)
Skewness = 0.14, Kurtosis = 2.44, MValue = 3.13
-------------------- Histogram --------------------
[292.754 ms ; 313.382 ms) | @@@@
[313.382 ms ; 333.549 ms) | 
[333.549 ms ; 353.717 ms) | 
[353.717 ms ; 373.884 ms) | 
[373.884 ms ; 394.043 ms) | 
[394.043 ms ; 414.211 ms) | @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[414.211 ms ; 434.378 ms) | 
[434.378 ms ; 454.545 ms) | 
[454.545 ms ; 474.713 ms) | 
[474.713 ms ; 493.779 ms) | 
[493.779 ms ; 515.381 ms) | @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.11.5, OS=Windows 10.0.17763.615 (1809/October2018Update/Redstone5)
Intel Core i7-7700HQ CPU 2.80GHz (Kaby Lake), 1 CPU, 8 logical and 4 physical cores
.NET Core SDK=2.2.301
  [Host] : .NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT

Toolchain=InProcessEmitToolchain  InvocationCount=1  UnrollFactor=1  

|       Method |     Mean |    Error |   StdDev |   Median |
|------------- |---------:|---------:|---------:|---------:|
| StartThreads | 431.5 ms | 18.14 ms | 53.49 ms | 403.7 ms |

// * Warnings *
MultimodalDistribution
  MutexBenchmark.StartThreads: Toolchain=InProcessEmitToolchain, InvocationCount=1, UnrollFactor=1 -> It seems that the distribution can have several modes (mValue = 3.13)

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  Median : Value separating the higher half of all measurements (50th percentile)
  1 ms   : 1 Millisecond (0.001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:59 (59.24 sec), executed benchmarks: 1

Global total time: 00:00:59 (59.49 sec), executed benchmarks: 1
// * Artifacts cleanup *
